,n_train,polykernel_degree,n_test,time,algo,tr_regret,tst_regret,reweight,mixture_weight
16,1000,2,1000,9.853739261627197,reweight_LS,10.899064137399144,11.963617538226805,1.0,0.8
17,1000,2,1000,294.2051770687103,SPO,6.310073821451384,6.560254691094626,,
18,1000,2,1000,4.9292991161346436,LS,6.888590647347136,7.205386236660608,,
19,1000,2,1000,10.099146127700806,reweight_LS,6.969894776603254,7.220281210128131,1.0,0.2
20,1000,2,1000,10.242391109466553,reweight_LS,6.849365458465488,7.21410873464486,1.0,0.4
21,1000,2,1000,10.214394330978394,reweight_LS,8.139703782794646,8.49855674104446,1.0,0.6
22,1000,2,1000,9.947510957717896,reweight_LS,12.066394922718711,12.938151504583384,1.0,0.8
23,1000,2,1000,293.81293201446533,SPO,6.613188396750699,6.899552027558755,,
24,1000,2,1000,4.86246395111084,LS,6.985422766775709,6.73010823073007,,
25,1000,2,1000,10.004297018051147,reweight_LS,7.2379537592543635,6.967789951333558,1.0,0.2
26,1000,2,1000,10.09108304977417,reweight_LS,7.21940004781492,6.976575077015937,1.0,0.4
27,1000,2,1000,10.053322792053223,reweight_LS,8.163561933404566,7.3383413461269225,1.0,0.6
28,1000,2,1000,9.803123712539673,reweight_LS,9.737325831293717,10.402565459894333,1.0,0.8
29,1000,2,1000,293.1056799888611,SPO,6.5851196931137626,6.331658328779449,,
30,1000,2,1000,4.943484783172607,LS,6.808705582863326,6.568053712093033,,
31,1000,2,1000,10.094079971313477,reweight_LS,6.845450540682387,6.628944882632082,1.0,0.2
32,1000,2,1000,10.265876531600952,reweight_LS,6.725840986089929,6.866039855468391,1.0,0.4
33,1000,2,1000,10.16109585762024,reweight_LS,8.669559531452265,8.796086595878567,1.0,0.6
34,1000,2,1000,9.924323797225952,reweight_LS,11.285267614476702,12.140052480444753,1.0,0.8
35,1000,2,1000,294.9176049232483,SPO,6.393531128831495,6.3084405273617845,,
36,1000,2,1000,5.035768985748291,LS,7.014014059039879,6.466750040682796,,
37,1000,2,1000,10.281275987625122,reweight_LS,7.439670127493226,6.739385207204803,1.0,0.2
38,1000,2,1000,10.477325916290283,reweight_LS,7.45266574112347,7.01438910547014,1.0,0.4
39,1000,2,1000,10.266039848327637,reweight_LS,8.45788544376443,8.066446074762267,1.0,0.6
40,1000,2,1000,10.076353073120117,reweight_LS,13.062399744186875,12.902644550486086,1.0,0.8
41,1000,2,1000,294.393611907959,SPO,6.789868884758023,6.046578648108058,,
